代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
399435,国证农牧,4751.15,3.60%,165.26,15.25亿,190.2亿,3.87%,4802.17,4624.84,4624.84,4585.89,1.14,深证系列指数
399231,农林指数,1688.98,2.52%,41.48,7.71亿,96.64亿,3.14%,1707.23,1655.5,1655.5,1647.5,0.95,深证系列指数
399238,餐饮指数,1327.55,1.67%,21.87,6520万,4.3亿,2.38%,1329.26,1298.13,1310.77,1305.68,1.35,深证系列指数
399439,国证油气,1793.83,1.00%,17.78,16.97亿,112.9亿,2.99%,1822.04,1769.02,1779.63,1776.05,1.58,深证系列指数
399684,深成消费,2190.43,0.92%,20.01,10.76亿,197.4亿,2.24%,2223.45,2174.76,2175.05,2170.42,1.19,深证系列指数
399669,深证农业,9090.65,0.78%,70.09,16.51亿,249.8亿,2.02%,9222.27,9040.41,9043.5,9020.56,1.05,深证系列指数
399617,深证消费,10882.06,0.57%,61.57,5.98亿,161.8亿,2.22%,11072.4,10832.33,10844.21,10820.49,1.22,深证系列指数
399814,大农业,1269.31,0.36%,4.61,16.51亿,209.8亿,1.98%,1287.27,1262.24,1269.73,1264.7,1.08,深证系列指数
399639,深证大宗,2386.15,0.33%,7.94,17.7亿,169.3亿,1.76%,2414.58,2372.63,2390.68,2378.21,0.91,深证系列指数
399385,1000消费,9517.3,0.09%,8.86,15.66亿,327.3亿,2.41%,9711.94,9482.54,9543.37,9508.44,1.1,深证系列指数
399365,国证农业,10834.91,0.08%,8.63,14.78亿,316.7亿,2.51%,11069.48,10797.37,10870.16,10826.28,1.04,深证系列指数
399299,深信中低,179.73,0.07%,0.12,119.7万,1.17亿,0.06%,179.76,179.65,179.7,179.61,1.4,深证系列指数
399302,深公司债,172.19,0.04%,0.08,140.9万,1.38亿,0.03%,172.21,172.17,172.19,172.12,0.82,深证系列指数
399301,深信用债,168.81,0.04%,0.07,140.9万,1.38亿,0.02%,168.82,168.79,168.8,168.74,0.82,深证系列指数
399298,深信中高,166.12,0.03%,0.06,112.3万,1.11亿,0.03%,166.15,166.1,166.13,166.06,0.79,深证系列指数
399481,企债指数,127.97,0.00%,0.0,877.6万,8.34亿,0.02%,127.98,127.95,127.97,127.97,0.97,深证系列指数
399389,国证通信,4371.38,-0.15%,-6.78,34.28亿,493.3亿,3.47%,4500.43,4348.36,4393.2,4378.16,1.32,深证系列指数
399671,深防御50,7239.4,-0.17%,-12.1,19.45亿,385.5亿,2.20%,7368.38,7209.06,7259.17,7251.5,1.25,深证系列指数
399989,中证医疗,7913.17,-0.27%,-21.11,3.62亿,62.09亿,0.97%,7967.4,7890.4,7945.58,7934.28,0.99,深证系列指数
399932,中证消费,14725.52,-0.30%,-44.19,12.38亿,250.2亿,2.46%,15047.43,14684.28,14803.5,14769.71,1.13,深证系列指数
399435,国证农牧,4751.15,3.60%,165.26,15.25亿,190.2亿,3.87%,4802.17,4624.84,4624.84,4585.89,1.14,深证系列指数
399231,农林指数,1688.98,2.52%,41.48,7.71亿,96.64亿,3.14%,1707.23,1655.5,1655.5,1647.5,0.95,深证系列指数
399238,餐饮指数,1327.55,1.67%,21.87,6520万,4.3亿,2.38%,1329.26,1298.13,1310.77,1305.68,1.35,深证系列指数
399439,国证油气,1793.83,1.00%,17.78,16.97亿,112.9亿,2.99%,1822.04,1769.02,1779.63,1776.05,1.58,深证系列指数
399684,深成消费,2190.43,0.92%,20.01,10.76亿,197.4亿,2.24%,2223.45,2174.76,2175.05,2170.42,1.19,深证系列指数
399669,深证农业,9090.65,0.78%,70.09,16.51亿,249.8亿,2.02%,9222.27,9040.41,9043.5,9020.56,1.05,深证系列指数
399617,深证消费,10882.06,0.57%,61.57,5.98亿,161.8亿,2.22%,11072.4,10832.33,10844.21,10820.49,1.22,深证系列指数
399814,大农业,1269.31,0.36%,4.61,16.51亿,209.8亿,1.98%,1287.27,1262.24,1269.73,1264.7,1.08,深证系列指数
399639,深证大宗,2386.15,0.33%,7.94,17.7亿,169.3亿,1.76%,2414.58,2372.63,2390.68,2378.21,0.91,深证系列指数
399385,1000消费,9517.3,0.09%,8.86,15.66亿,327.3亿,2.41%,9711.94,9482.54,9543.37,9508.44,1.1,深证系列指数
399365,国证农业,10834.91,0.08%,8.63,14.78亿,316.7亿,2.51%,11069.48,10797.37,10870.16,10826.28,1.04,深证系列指数
399299,深信中低,179.73,0.07%,0.12,119.7万,1.17亿,0.06%,179.76,179.65,179.7,179.61,1.4,深证系列指数
399302,深公司债,172.19,0.04%,0.08,140.9万,1.38亿,0.03%,172.21,172.17,172.19,172.12,0.82,深证系列指数
399301,深信用债,168.81,0.04%,0.07,140.9万,1.38亿,0.02%,168.82,168.79,168.8,168.74,0.82,深证系列指数
399298,深信中高,166.12,0.03%,0.06,112.3万,1.11亿,0.03%,166.15,166.1,166.13,166.06,0.79,深证系列指数
399481,企债指数,127.97,0.00%,0.0,877.6万,8.34亿,0.02%,127.98,127.95,127.97,127.97,0.97,深证系列指数
399389,国证通信,4371.38,-0.15%,-6.78,34.28亿,493.3亿,3.47%,4500.43,4348.36,4393.2,4378.16,1.32,深证系列指数
399671,深防御50,7239.4,-0.17%,-12.1,19.45亿,385.5亿,2.20%,7368.38,7209.06,7259.17,7251.5,1.25,深证系列指数
399989,中证医疗,7913.17,-0.27%,-21.11,3.62亿,62.09亿,0.97%,7967.4,7890.4,7945.58,7934.28,0.99,深证系列指数
399932,中证消费,14725.52,-0.30%,-44.19,12.38亿,250.2亿,2.46%,15047.43,14684.28,14803.5,14769.71,1.13,深证系列指数
399688,深成电信,1777.15,-0.44%,-7.93,5.5亿,145亿,3.83%,1832.87,1764.51,1788.55,1785.08,1.07,深证系列指数
399381,1000能源,2387.99,-0.49%,-11.82,33.25亿,191.1亿,2.00%,2425.42,2377.38,2406.54,2399.81,1.59,深证系列指数
399244,公共指数,1011.66,-0.51%,-5.22,6.58亿,54.77亿,1.59%,1024.65,1008.52,1019.58,1016.88,1.17,深证系列指数
399613,深证能源,3545.34,-0.53%,-18.81,8.68亿,95.47亿,2.58%,3609.59,3517.52,3580.2,3564.15,1.13,深证系列指数
399390,1000公用,2303.03,-0.59%,-13.56,11.37亿,67.18亿,0.98%,2322.54,2299.79,2319.28,2316.59,1.07,深证系列指数
399243,科研指数,1794.24,-0.61%,-11.1,2.62亿,30.08亿,1.30%,1810.13,1786.69,1809.51,1805.34,0.96,深证系列指数
399237,运输指数,1156.85,-0.65%,-7.55,5.86亿,48.11亿,1.70%,1172.56,1152.8,1168.84,1164.4,1.14,深证系列指数
399403,防御100,7230.07,-0.66%,-47.88,36.7亿,708.4亿,2.34%,7378.07,7207.57,7294.12,7277.95,1.26,深证系列指数
399668,创业板V,2743.14,-0.70%,-19.36,26.24亿,262.2亿,2.18%,2791.2,2730.85,2771.04,2762.5,1.05,深证系列指数
399438,国证电力,1950.32,-0.73%,-14.44,10.86亿,61.5亿,0.99%,1967.52,1948.05,1966.6,1964.76,0.96,深证系列指数
399693,安防产业,3610.18,-0.75%,-27.33,11.51亿,165.2亿,1.95%,3665.7,3594.81,3637.51,3637.51,1.04,深证系列指数
399366,国证大宗,2116.85,-0.76%,-16.24,60.68亿,464.5亿,1.63%,2143.26,2108.53,2138.84,2133.1,1.14,深证系列指数
399293,创业大盘,3065.94,-0.77%,-23.85,13.49亿,231.5亿,2.02%,3112.92,3050.46,3102.08,3089.79,1.07,深证系列指数
399232,采矿指数,1867.07,-0.78%,-14.66,7.26亿,48.57亿,1.56%,1890.02,1860.66,1886.74,1881.73,1.14,深证系列指数
399396,国证食品,16168.43,-0.81%,-132.1,5.98亿,205.6亿,2.58%,16550.76,16129.73,16314.14,16300.53,1.0,深证系列指数
399320,国证服务,2123.88,-0.81%,-17.37,36.59亿,256.9亿,1.40%,2148.52,2118.59,2144.58,2141.25,1.15,深证系列指数
399667,创业板G,2322.57,-0.81%,-19.01,22.12亿,310.5亿,2.18%,2363.19,2312.05,2350.13,2341.58,1.07,深证系列指数
399295,创业蓝筹,3600.35,-0.82%,-29.85,10.06亿,152.1亿,1.85%,3648.32,3581.26,3641.56,3630.2,0.94,深证系列指数
399997,中证白酒,7223.96,-0.84%,-61.5,1.6亿,124.3亿,3.13%,7436.62,7208.57,7289.15,7285.46,0.96,深证系列指数
399987,中证酒,4089.89,-0.88%,-36.17,2.5亿,134.3亿,2.95%,4202.15,4080.34,4128.18,4126.06,0.85,深证系列指数
399621,深证电信,3594.7,-0.90%,-32.74,8.55亿,175.5亿,3.45%,3701.86,3576.58,3630.57,3627.44,1.06,深证系列指数
399647,深医药50,9860.15,-0.90%,-89.37,6.85亿,125亿,1.32%,9960.14,9828.5,9944.44,9949.52,1.05,深证系列指数
399629,700价值,2230.31,-0.91%,-20.53,61.16亿,486.1亿,1.76%,2261.18,2221.61,2255.84,2250.84,1.04,深证系列指数
399973,中证国防,1204.1,-0.91%,-11.09,3.12亿,47.93亿,1.81%,1223.4,1201.4,1219.59,1215.19,0.99,深证系列指数
399236,批零指数,1698.03,-0.92%,-15.83,12亿,129.6亿,1.96%,1727.62,1694.07,1724.19,1713.86,1.0,深证系列指数
399376,小盘成长,4994.63,-0.92%,-46.41,43.47亿,411.1亿,1.59%,5055.11,4975.1,5047.04,5041.04,0.98,深证系列指数
399627,中创价值,1822.56,-0.92%,-16.89,49.16亿,506.7亿,2.04%,1852.62,1815.16,1845.56,1839.45,1.04,深证系列指数
399015,中小创新,2130.15,-0.95%,-20.37,113.2亿,959.1亿,1.71%,2159.54,2122.86,2157.04,2150.52,1.09,深证系列指数
399806,环境治理,1783.92,-0.96%,-17.28,10.57亿,81.11亿,1.85%,1813.47,1780.22,1802.56,1801.2,1.09,深证系列指数
399624,中创400,1798.05,-0.96%,-17.5,107.6亿,1026亿,1.68%,1822.28,1791.74,1819.63,1815.55,1.05,深证系列指数
399993,CSWD生科,2607.16,-0.97%,-25.67,2.42亿,56.77亿,1.65%,2643.55,2600.04,2636.03,2632.82,0.97,深证系列指数
399010,深证700,6441.6,-0.97%,-63.2,163.5亿,1423亿,1.67%,6526.87,6418.29,6521.81,6504.8,1.06,深证系列指数
399628,700成长,1863.09,-0.97%,-18.18,53.27亿,475.6亿,1.86%,1889.19,1854.15,1885.17,1881.27,1.0,深证系列指数
399994,信息安全,1771.53,-0.98%,-17.57,28.67亿,539亿,2.17%,1802.56,1763.79,1790.9,1789.1,1.0,深证系列指数
399695,深证节能,2433.78,-0.98%,-23.99,28.73亿,247.3亿,1.79%,2468.99,2425.09,2466.06,2457.77,1.03,深证系列指数
399803,工业4.0,2267.91,-0.99%,-22.76,7.29亿,203.9亿,1.99%,2304.81,2259.3,2302.53,2290.67,1.0,深证系列指数
399318,国证B指,4431.05,-0.99%,-44.17,5424万,3.35亿,1.14%,4478.76,4427.63,4477.31,4475.21,0.9,深证系列指数
399418,国证国安,2989.31,-1.00%,-30.27,56.58亿,682.4亿,1.83%,3034.93,2979.73,3027.94,3019.58,1.29,深证系列指数
399618,深证医药,9723.75,-1.00%,-98.67,5.08亿,111.4亿,1.24%,9815.36,9693.91,9810.22,9822.42,0.93,深证系列指数
399685,深成医药,1960.73,-1.02%,-20.18,7.47亿,135.1亿,1.31%,1980.53,1954.54,1978.5,1980.91,1.0,深证系列指数
399674,深A医药,2045.02,-1.02%,-20.98,20.32亿,272亿,1.50%,2069.5,2038.46,2067.71,2066.0,0.96,深证系列指数
399012,创业300,2522.7,-1.02%,-26.03,59.62亿,701.4亿,1.86%,2560.25,2512.77,2556.52,2548.73,1.05,深证系列指数
399692,创业低波,2587.5,-1.02%,-26.66,21.86亿,208.4亿,1.71%,2623.41,2578.8,2620.56,2614.16,1.06,深证系列指数
399817,生态100,1393.86,-1.04%,-14.64,15.47亿,132亿,1.68%,1411.85,1388.12,1408.01,1408.5,0.98,深证系列指数
399303,国证2000,6995.98,-1.05%,-74.35,302.5亿,2884亿,1.65%,7090.09,6973.69,7084.85,7070.34,1.03,深证系列指数
399361,国证商业,5601.79,-1.05%,-59.69,7.57亿,74.53亿,1.82%,5691.43,5588.16,5689.14,5661.48,0.77,深证系列指数
399928,中证能源,2122.15,-1.06%,-22.76,28.71亿,181.1亿,2.13%,2157.25,2111.56,2146.75,2144.91,1.46,深证系列指数
399006,创业板指,1697.51,-1.07%,-18.29,102.7亿,1166亿,1.92%,1723.56,1690.64,1720.78,1715.8,1.05,深证系列指数
399967,中证军工,8621.11,-1.07%,-92.82,6.08亿,81.68亿,1.88%,8761.21,8597.11,8744.18,8713.94,0.92,深证系列指数
399811,CSSW电子,2509.5,-1.07%,-27.13,38.54亿,442.8亿,2.01%,2554.15,2503.12,2536.68,2536.63,1.09,深证系列指数
399606,创业板R,1779.34,-1.07%,-19.16,23.91亿,354.8亿,1.92%,1806.64,1772.13,1803.72,1798.5,1.0,深证系列指数
399640,创业基础,1679.87,-1.08%,-18.29,76.11亿,852.5亿,1.91%,1705.63,1673.26,1703.17,1698.16,1.04,深证系列指数
399296,创成长,2932.44,-1.08%,-32.06,8.28亿,179.4亿,1.94%,2977.33,2919.84,2974.28,2964.5,0.97,深证系列指数
399626,中创成长,1392.02,-1.09%,-15.29,56.64亿,656.6亿,1.96%,1414.13,1386.52,1409.13,1407.31,1.02,深证系列指数
399676,深医药EW,2736.07,-1.10%,-30.5,20.32亿,272亿,1.94%,2780.54,2726.79,2777.71,2766.57,0.96,深证系列指数
399698,优势成长,17884.37,-1.10%,-198.71,4.8亿,34.02亿,1.74%,18146.16,17831.41,18094.06,18083.08,1.04,深证系列指数
399441,生物医药,2675.73,-1.11%,-29.96,2.23亿,54.03亿,1.62%,2712.73,2668.98,2708.28,2705.69,0.97,深证系列指数
399665,中创低波,1579.19,-1.11%,-17.78,59.01亿,527.8亿,1.70%,1601.46,1574.26,1600.62,1596.97,1.05,深证系列指数
399413,国证转债,123.33,-1.11%,-1.39,5237万,81.54亿,1.51%,125.11,123.23,124.85,124.72,0.97,深证系列指数
399316,巨潮小盘,4433.8,-1.11%,-49.91,140.2亿,1204亿,1.74%,4496.77,4418.81,4493.16,4483.7,1.03,深证系列指数
399428,国证定增,2549.29,-1.12%,-28.93,32.21亿,383.2亿,1.89%,2586.72,2538.1,2584.97,2578.22,1.17,深证系列指数
399652,中创高新,2314.64,-1.13%,-26.34,8.19亿,139.7亿,2.17%,2355.19,2304.48,2347.0,2340.98,0.94,深证系列指数
399697,中关村60,3786.48,-1.13%,-43.36,17.43亿,163.8亿,1.85%,3847.45,3776.53,3843.09,3829.84,1.12,深证系列指数
399102,创业板综,2073.3,-1.14%,-23.81,102.7亿,1166亿,1.84%,2104.59,2065.9,2102.48,2097.11,1.05,深证系列指数
399689,深成公用,1072.15,-1.18%,-12.82,1.72亿,12.07亿,2.14%,1092.14,1068.95,1089.67,1084.97,0.96,深证系列指数
399018,创业创新,3422.5,-1.18%,-40.75,17.7亿,250.9亿,1.97%,3478.68,3410.39,3474.43,3463.25,0.94,深证系列指数
399292,民企发展,1321.29,-1.18%,-15.76,129.9亿,1138亿,1.79%,1341.57,1317.68,1340.49,1337.05,1.07,深证系列指数
399003,成份B指,5426.78,-1.22%,-66.77,2125万,1.01亿,1.90%,5515.06,5410.68,5501.04,5493.55,0.62,深证系列指数
399410,苏州率先,2022.36,-1.23%,-25.16,7.89亿,91.99亿,2.38%,2064.18,2015.55,2059.42,2047.52,1.04,深证系列指数
399377,小盘价值,6413.53,-1.24%,-80.49,41.76亿,323.2亿,1.90%,6514.39,6390.74,6510.67,6494.02,0.96,深证系列指数
399625,中创500,1630.83,-1.25%,-20.61,143.9亿,1599亿,1.79%,1655.11,1625.52,1654.37,1651.44,1.04,深证系列指数
399360,新硬件,4184.22,-1.27%,-53.85,36.35亿,378.3亿,1.92%,4251.55,4170.07,4243.43,4238.07,1.08,深证系列指数
399297,新浪100,3159.59,-1.28%,-40.84,17.21亿,132亿,1.98%,3211.97,3148.48,3207.18,3200.43,0.98,深证系列指数
399368,国证军工,6262.16,-1.29%,-81.64,9.24亿,123.4亿,2.04%,6377.87,6248.64,6371.42,6343.8,0.87,深证系列指数
399623,中小基础,7202.84,-1.29%,-94.43,135.1亿,1358亿,1.78%,7310.17,7180.42,7307.58,7297.27,1.06,深证系列指数
399242,商务指数,1240.08,-1.29%,-16.16,9.07亿,66.95亿,2.37%,1266.84,1237.1,1260.29,1256.24,1.08,深证系列指数
399101,中小板综,10133.38,-1.29%,-132.04,187.4亿,1862亿,1.77%,10283.52,10101.89,10277.94,10265.42,1.04,深证系列指数
399622,深证公用,1865.83,-1.29%,-24.44,3.95亿,25.41亿,2.02%,1897.22,1859.12,1897.22,1890.27,0.92,深证系列指数
399636,深证装备,3449.59,-1.30%,-45.31,31.26亿,379.2亿,2.53%,3524.17,3435.83,3508.44,3494.9,1.07,深证系列指数
399307,深证转债,212.52,-1.30%,-2.81,3397万,59.22亿,1.93%,216.35,212.19,215.65,215.33,1.18,深证系列指数
399408,小盘低波,11710.0,-1.30%,-153.7,42.04亿,267.5亿,1.71%,11882.17,11679.45,11878.46,11863.7,0.95,深证系列指数
399388,1000信息,3649.73,-1.33%,-49.15,61.22亿,786.5亿,1.97%,3711.72,3638.73,3706.63,3698.88,1.04,深证系列指数
399604,中小价值,1485.82,-1.34%,-20.14,29.29亿,318.7亿,2.20%,1513.56,1480.47,1511.97,1505.96,1.03,深证系列指数
399359,国证基建,2742.16,-1.34%,-37.12,32.79亿,258.5亿,2.01%,2792.9,2737.01,2789.49,2779.28,1.22,深证系列指数
399913,300医药,10217.35,-1.35%,-139.64,4.9亿,134.3亿,1.55%,10354.25,10193.63,10348.63,10356.99,1.1,深证系列指数
399678,深次新股,856.38,-1.36%,-11.85,4.19亿,115.2亿,1.65%,869.31,854.94,868.67,868.23,0.83,深证系列指数
399691,创业专利,2598.17,-1.36%,-35.8,12.54亿,94.71亿,2.27%,2648.78,2588.98,2644.31,2633.97,1.0,深证系列指数
399401,中小盘,3779.18,-1.37%,-52.39,254.4亿,2289亿,2.05%,3846.17,3767.51,3843.93,3831.57,1.05,深证系列指数
399663,中小低波,1431.91,-1.38%,-19.97,30.03亿,269.5亿,1.85%,1455.45,1428.64,1455.26,1451.87,1.03,深证系列指数
399108,深证B指,1047.86,-1.38%,-14.67,2125万,1.01亿,1.73%,1064.56,1046.17,1063.73,1062.54,0.62,深证系列指数
399958,创业成长,996.17,-1.38%,-13.92,14.1亿,213.3亿,1.89%,1012.49,993.4,1012.23,1010.09,0.95,深证系列指数
399959,军工指数,1163.55,-1.38%,-16.33,9.32亿,117.4亿,2.12%,1185.55,1160.52,1184.18,1179.88,0.9,深证系列指数
399813,中证国安,5419.32,-1.39%,-76.58,37.5亿,650.8亿,2.17%,5517.11,5398.04,5493.02,5495.9,0.97,深证系列指数
399602,中小成长,1110.17,-1.40%,-15.73,40.39亿,425.3亿,1.88%,1127.65,1106.51,1125.67,1125.9,1.02,深证系列指数
399234,水电指数,843.22,-1.40%,-11.99,9.99亿,70.58亿,2.10%,858.73,840.76,858.73,855.22,0.91,深证系列指数
399339,深证科技,5262.82,-1.40%,-74.6,42.69亿,644.9亿,1.91%,5349.5,5247.38,5344.75,5337.42,1.1,深证系列指数
399409,小盘高贝,4158.21,-1.40%,-58.84,34.54亿,402.4亿,2.20%,4235.61,4142.67,4233.16,4217.05,1.08,深证系列指数
399008,中小300,1284.6,-1.41%,-18.43,96.96亿,1046亿,1.83%,1304.76,1280.91,1304.32,1303.03,1.04,深证系列指数
399808,中证新能,1608.16,-1.41%,-23.04,26.67亿,266.9亿,2.18%,1639.55,1603.92,1638.05,1631.2,0.97,深证系列指数
399664,中小高贝,1021.35,-1.42%,-14.69,29.52亿,358.5亿,2.01%,1039.39,1018.56,1038.89,1036.04,0.95,深证系列指数
399406,中盘低波,11555.1,-1.42%,-166.21,51.41亿,340.1亿,2.26%,11783.59,11519.15,11780.64,11721.31,1.1,深证系列指数
399620,深证信息,3485.0,-1.43%,-50.7,49.65亿,571.6亿,1.98%,3545.89,3475.89,3541.94,3535.7,1.04,深证系列指数
399422,中关村A,2854.83,-1.43%,-41.32,61.62亿,575.2亿,2.24%,2910.97,2846.0,2908.82,2896.15,1.12,深证系列指数
399634,中小板EW,3416.96,-1.44%,-49.78,32.97亿,478.8亿,2.02%,3479.07,3409.04,3477.22,3466.74,1.02,深证系列指数
399319,资源优势,1682.91,-1.45%,-24.68,54.93亿,364.5亿,1.90%,1710.04,1677.63,1709.72,1707.59,1.21,深证系列指数
399017,SME创新,2526.36,-1.45%,-37.26,20.52亿,306亿,1.99%,2570.89,2519.92,2570.86,2563.62,0.96,深证系列指数
399687,深成信息,2296.98,-1.45%,-33.86,48.61亿,562.8亿,2.02%,2337.79,2290.73,2334.99,2330.84,1.05,深证系列指数
399666,中创高贝,1357.07,-1.46%,-20.1,50.14亿,646.5亿,2.04%,1380.61,1352.58,1380.21,1377.17,0.96,深证系列指数
399394,国证医药,9595.99,-1.47%,-142.96,10.54亿,217.5亿,1.74%,9743.34,9574.25,9737.16,9738.95,1.03,深证系列指数
399016,深证创新,2964.44,-1.48%,-44.53,29.61亿,418.2亿,1.97%,3014.41,2955.11,3012.44,3008.97,0.92,深证系列指数
399905,中证500,5723.04,-1.50%,-87.14,158.2亿,1434亿,2.06%,5824.52,5704.98,5821.02,5810.18,1.01,深证系列指数
399233,制造指数,1963.49,-1.50%,-29.89,276.9亿,2950亿,1.96%,1996.33,1957.31,1994.47,1993.38,1.05,深证系列指数
399645,100低波,8398.29,-1.50%,-127.98,39.39亿,530.8亿,2.20%,8548.23,8360.86,8548.23,8526.26,1.21,深证系列指数
399433,国证交运,1996.27,-1.51%,-30.55,19.83亿,143.1亿,2.11%,2032.01,1989.27,2031.23,2026.82,0.95,深证系列指数
399106,深证综指,1751.91,-1.51%,-26.91,437.1亿,4451亿,1.90%,1780.55,1746.7,1780.18,1778.81,1.04,深证系列指数
399610,TMT50,4919.3,-1.51%,-75.18,40.86亿,506亿,2.29%,5020.9,4906.56,5006.8,4994.47,1.12,深证系列指数
399107,深证A指,1832.31,-1.51%,-28.15,436.9亿,4450亿,1.90%,1862.28,1826.85,1861.89,1860.46,1.04,深证系列指数
399996,智能家居,2583.42,-1.52%,-39.75,36.79亿,614.8亿,1.84%,2623.84,2575.64,2622.57,2623.17,0.93,深证系列指数
399306,深证ETF,1198.75,-1.52%,-18.49,19.55亿,29.96亿,1.99%,1219.56,1195.33,1218.93,1217.24,0.74,深证系列指数
399386,1000医药,6434.31,-1.52%,-98.99,13.9亿,245.2亿,1.77%,6535.1,6419.47,6530.87,6533.3,1.04,深证系列指数
399103,乐富指数,6045.67,-1.52%,-93.05,44.24亿,54.77亿,2.01%,6155.23,6031.78,6153.26,6138.72,0.87,深证系列指数
399933,中证医药,9883.94,-1.52%,-152.18,13.26亿,232.8亿,1.84%,10043.97,9859.15,10036.51,10036.12,0.97,深证系列指数
399353,国证物流,2723.78,-1.52%,-42.04,13.73亿,124.9亿,2.29%,2778.06,2714.66,2776.76,2765.82,1.04,深证系列指数
399248,文化指数,1042.75,-1.53%,-16.22,5.75亿,60.67亿,2.33%,1064.11,1039.41,1056.42,1058.97,1.03,深证系列指数
399635,创业板EW,1644.56,-1.53%,-25.57,23.91亿,354.8亿,2.09%,1673.8,1638.89,1673.08,1670.13,1.0,深证系列指数
399935,中证信息,4161.03,-1.53%,-64.62,44.08亿,553.4亿,2.08%,4237.33,4149.48,4230.56,4225.65,1.06,深证系列指数
399970,移动互联,2305.08,-1.53%,-35.89,22.62亿,536.3亿,2.13%,2347.31,2297.48,2346.18,2340.97,0.97,深证系列指数
399404,大盘低波,5700.77,-1.53%,-88.35,46.57亿,382.7亿,2.12%,5808.21,5685.68,5806.77,5789.12,0.94,深证系列指数
399696,深证创投,2189.52,-1.54%,-34.15,28.67亿,323.3亿,2.08%,2228.38,2182.04,2226.54,2223.67,0.97,深证系列指数
399992,CSWD并购,1519.24,-1.54%,-23.73,14.57亿,193.8亿,1.92%,1543.97,1514.32,1543.97,1542.97,1.05,深证系列指数
399659,深成指EW,3697.29,-1.54%,-57.83,174.5亿,2131亿,2.06%,3763.28,3685.98,3761.97,3755.12,1.03,深证系列指数
399249,综企指数,730.48,-1.54%,-11.45,1.14亿,8.95亿,3.99%,759.59,729.98,757.86,741.93,1.31,深证系列指数
399982,500等权,6942.33,-1.55%,-109.15,158.2亿,1434亿,2.05%,7065.09,6920.84,7060.44,7051.48,1.01,深证系列指数
399642,中小新兴,1568.68,-1.55%,-24.7,37.57亿,420.6亿,1.79%,1593.59,1565.03,1592.93,1593.38,1.09,深证系列指数
399337,深证民营,4061.19,-1.55%,-63.93,43.8亿,676.3亿,2.09%,4133.34,4047.31,4133.34,4125.12,1.18,深证系列指数
399661,深证低波,5466.16,-1.55%,-85.87,48.72亿,565.5亿,2.13%,5567.84,5449.85,5565.61,5552.03,1.09,深证系列指数
399398,绩效指数,8800.42,-1.56%,-139.19,24.75亿,569.2亿,2.00%,8953.71,8775.09,8949.41,8939.61,0.93,深证系列指数
